Item ID,Name,Unit Size,PAR,Order Quantity
0456,CHEESE AMER YEL SLCD 160CT,LB,,0
0926,SOUP BASE GF VEG GOLDEN,CASE,,0
0631,BASE CHIPOTLE,CASE,,0
0231,BASE CHIX GF,6/CASE,,0
1526,EGG LIQUID WHL,CASE,,0
0469,EGG FRESH,CASE,,0
0576,CRM WHIPPING LT AEROSOL,CASE,,0
0168,CHEESE MOZZ FRESH SLCD 10Z NO BRINE,CASE,,0
4021,HARD BOILED EGGS (WHL PLD COOKED),CASE,,0
1400,GREEK YOGURT 0% FAT,CASE,,0
SUPPLIES,,,,0
4801,SAF-CHECK WITH QUAT TEST STRIP,EACH,,0
3026,TOWEL CWC BLUE STRIPE,CASE,,0
0971,REGISTER TAPE MICROS SYSTEM,EACH,,0
6328,REGISTER TAPE STICKY,EACH,,0
2344,CLNR ALCOHOL SWAB,BOX,,0
7781,"DAYDOTS ""USE FIRST""",ROLL/500,,0
2929,"DAYDOTS MON 2"" BLUE",ROLL,,0
2930,"DAYDOTS TUE 2"" YEL",ROLL,,0
2931,"DAYDOTS WED 2"" RED",ROLL,,0
2935,"DAYDOTS THUR 2"" BRN",ROLL,,0
2936,"DAYDOTS FRI 2"" GREEN",ROLL,,0
3424,LABEL PSU EATS,CASE,,0
4311,CLNR ALTO SHM SCALE FREE,JAR,,0
3245,SAFTY BAG OPENER,EACH,,0
3021,TOWEL QUAT SANITIZING,CASE,,0
3852,CLNR - DAWN DISH LIQUID,TUB,,0
1320,CLNR KEATING KLENSER,CASE,,0
3265,CLNR SOLID POWER XL,CASE,,0
3846,CLNR ECL SCOUT 2-2 GAL,CASE,,0
1018,CLNR ECL LIME AWAY DELIMING,CASE,,0
1015,CLNR ECL GREASE CUTTER PLUS,CASE,,0
4281,CLNR APEX RINSE ADDITIVE,CASE,,0
4724,CLNR ALTO SHM SPRAY-COMBITHRM,CASE,,0
4584,CLNR ECL PATHWAYS DRAIN (S/O),CASE,,0
4272,CLNR TURBO CHEF OVEN CLEANER (S/O),CASE,,0
3170,PAD SCOURING PURPLE,BOX,,0
4025,CLNR STEAM WAND SCHAERER,BOTTL,,0
4004,CLNR ALTO SHM COMBICLN CTPTAB,BKT5,,0
4593,CLNR ECL PEROXIDE MULTI-SURFACE DIS,2GAL,,0
4534,CLNR ECL OASIS QUAT SANITIZER,2.5GL,,0
4495,CLNR ECL OASIS FLOOR AMMONIATED,2.5GL,,0
